product_name,category,rating,url,source,budget_band,rating_band,price
GloPRO® Microneedling Facial Regeneration Tool,Anti-Aging,4.0,,Sephora,high,good,0
Contouring + De-Puffing Rose Quartz GloPRO® Attachment Head,Anti-Aging,4.0,,Sephora,high,good,0
Sonic Awakening Eye Massager,Anti-Aging,4.0,,Sephora,high,good,0
LUXE Anti-Aging Dermaplaning Exfoliation Device,Anti-Aging,4.0,,Sephora,high,good,0
DERMAPORE Ultrasonic Pore Extractor & Serum Infuser,Anti-Aging,4.0,,Sephora,high,good,0
SpectraLite™ Faceware Pro,Anti-Aging,4.0,,Sephora,high,good,0
FIX Line Smoothing Device,Anti-Aging,4.0,,Sephora,high,good,0
Trinity Wrinkle Reducer Attachment,Anti-Aging,4.0,,Sephora,high,good,0
Dry Revive: Dry Body Brush,Anti-Aging,4.0,,Sephora,low,good,0
Optimizer Voyage Tri-Light++,Anti-Aging,4.0,,Sephora,high,good,0
GloPRO® FACE MicroTip™ Attachment Head,Anti-Aging,3.5,,Sephora,high,average,0
GloPRO® EYE MicroTip™ Attachment Head,Anti-Aging,3.5,,Sephora,high,average,0
GloPRO® LIP MicroTip™ Attachment Head,Anti-Aging,3.5,,Sephora,high,average,0
Anti-Aging + Firming 3D Face Sculptor,Anti-Aging,3.5,,Sephora,high,average,0
Kinetic Smooth Hair Remover & Skin Polisher,Anti-Aging,3.5,,Sephora,high,average,0
SpectraLite EyeCare Pro LED Device,Anti-Aging,3.5,,Sephora,high,average,0
UFO™ Mini,Anti-Aging,3.5,,Sephora,high,average,0
Lightstim® for Wrinkles,Anti-Aging,3.5,,Sephora,high,average,0
Gel Primer,Anti-Aging,3.5,,Sephora,high,average,0
Face Wrap Skin Perfecting Silicone Mask,Anti-Aging,3.5,,Sephora,medium,average,0
Beauty Stamp Micro-Exfoliation Tool,Anti-Aging,3.5,,Sephora,high,average,0
Ice Roller,Anti-Aging,3.5,,Sephora,medium,average,0
Triangle Facial Beauty Tool,Anti-Aging,2.5,,Sephora,high,poor,0
BB Crayon,BB & CC Cream,5.0,,Sephora,medium,excellent,0
Armani Prima Color Control Glow Moisturizer,BB & CC Cream,4.5,,Sephora,high,excellent,0
BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,BB & CC Cream,4.5,,Sephora,high,excellent,0
Color Control Cushion Compact Broad Spectrum SPF 50+,BB & CC Cream,4.0,,Sephora,high,good,0
COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,BB & CC Cream,4.0,,Sephora,medium,good,0
Prime Time™  BB Tinted Primer Broad Spectrum SPF 30,BB & CC Cream,4.0,,Sephora,medium,good,0
Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,BB & CC Cream,4.0,,Sephora,high,good,0
Acne Solutions™ BB Cream SPF 40,BB & CC Cream,4.0,,Sephora,high,good,0
Age Defense BB Cream Broad Spectrum SPF 30,BB & CC Cream,4.0,,Sephora,high,good,0
Premium Beauty Balm SPF 45,BB & CC Cream,4.0,,Sephora,high,good,0
Black Label Detox BB Beauty Balm,BB & CC Cream,4.0,,Sephora,high,good,0
Dis-A-Pore Beauty Balm SPF 50+,BB & CC Cream,4.0,,Sephora,high,good,0
CC+ Cream with SPF 50+,BB & CC Cream,4.0,,Sephora,high,good,0
CC+ Cream Illumination with SPF 50+,BB & CC Cream,4.0,,Sephora,high,good,0
CC+ Cream with SPF 50+ Mini,BB & CC Cream,4.0,,Sephora,medium,good,0
Bienfait Teinté Beauty Balm Sunscreen Broad Spectrum SPF 30,BB & CC Cream,4.0,,Sephora,high,good,0
Sports BB SPF 50+,BB & CC Cream,4.0,,Sephora,high,good,0
Camera Ready BB Cream SPF 35,BB & CC Cream,4.0,,Sephora,high,good,0
Skin Perfecting BB Cream Broad Spectrum SPF 30,BB & CC Cream,3.5,,Sephora,high,average,0
CC+ Airbrush Perfecting Powder,BB & CC Cream,3.5,,Sephora,high,average,0
Dramatically Different™ Moisturizing BB-gel,BB & CC Cream,3.0,,Sephora,low,average,0
CC+ Cream Oil-Free Matte with SPF 40 Mini,BB & CC Cream,3.0,,Sephora,medium,average,0
Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,BB & CC Creams,4.5,,Sephora,high,excellent,0
BB Cream Tinted Moisturizer Broad Spectrum SPF20,BB & CC Creams,4.5,,Sephora,high,excellent,0
CC Cream Daily Correct Broad Spectrum SPF 35 Sunscreen,BB & CC Creams,4.5,,Sephora,high,excellent,0
Rōsilliance™ Organic BB+ Cream SPF 30,BB & CC Creams,4.0,,Sephora,high,good,0
Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,BB & CC Creams,4.0,,Sephora,high,good,0
Cicapair™ Tiger Grass Color Correcting Treatment SPF 30,BB & CC Creams,4.0,,Sephora,high,good,0
CC Cream Radiance Color Corrector Broad Spectrum SPF25,BB & CC Creams,4.0,,Sephora,high,good,0
CC Color Correcting & Redness Reducing Broad Spectrum SPF 25,BB & CC Creams,4.0,,Sephora,high,good,0
CC+ Cream Oil-Free Matte with SPF 40,BB & CC Creams,4.0,,Sephora,high,good,0
Skin Tone Correcting & Beautifying BB Cream Sunscreen Broad Spectrum SPF 50,BB & CC Creams,3.5,,Sephora,high,average,0
CC Dullness Corrector Glow Booster Broad Spectrum SPF 25,BB & CC Creams,3.0,,Sephora,high,average,0
Industrial Strength Hand Healer Mini,Bath & Body,4.5,,Sephora,medium,excellent,0
Hand Cream Minis,Bath & Body,4.5,,Sephora,low,excellent,0
Brazilian Bum Bum Cream Mini,Bath & Body,4.5,,Sephora,medium,excellent,0
Super Power Sunscreen Mousse Broad Spectrum SPF 50 Mini,Bath & Body,4.5,,Sephora,medium,excellent,0
Coconut Melt Mini,Bath & Body,4.0,,Sephora,medium,good,0
Cleansing And Softening Shower Oil With Almond Oil Mini,Bath & Body,4.0,,Sephora,low,good,0
100 percent Pure Shea Butter Mini,Bath & Body,4.0,,Sephora,low,good,0
Açai Body Power Cream Mini,Bath & Body,4.0,,Sephora,medium,good,0
Creme de Corps Mini,Bath & Body,3.5,,Sephora,low,average,0
Acqua Di Gio Pour Homme After Shave Lotion,Bath & Shower,5.0,,Sephora,high,excellent,0
Rose Anonyme Body And Hair Shower Gel,Bath & Shower,5.0,,Sephora,high,excellent,0
Gabrielle Chanel Shower Gel,Bath & Shower,5.0,,Sephora,high,excellent,0
CHANCE EAU FRAÎCHE Foaming Shower Gel,Bath & Shower,5.0,,Sephora,high,excellent,0
 Sauvage After-Shave Lotion,Bath & Shower,5.0,,Sephora,high,excellent,0
Sauvage Shower Gel,Bath & Shower,5.0,,Sephora,high,excellent,0
Terre d’Hermès After-Shave Balm,Bath & Shower,5.0,,Sephora,high,excellent,0
Wood Sage & Sea Salt Hand Soap & Body Wash,Bath & Shower,5.0,,Sephora,high,excellent,0
Nectarine Blossom & Honey Hand Soap & Body Wash,Bath & Shower,5.0,,Sephora,high,excellent,0
La Vie Est Belle Shower Gel,Bath & Shower,5.0,,Sephora,high,excellent,0
No.04 Bois de Balincourt Body & Hand Wash,Bath & Shower,5.0,,Sephora,high,excellent,0
Extreme Blue Hair And Body Wash,Bath & Shower,5.0,,Sephora,medium,excellent,0
"Pure Grace Nude Rose Shampoo, Bath, & Shower Gel",Bath & Shower,5.0,,Sephora,medium,excellent,0
Neroli Portofino Warming Body Scrub,Bath & Shower,5.0,,Sephora,high,excellent,0
Flowerbomb Shower Gel,Bath & Shower,5.0,,Sephora,high,excellent,0
Armani Code After Shave Lotion,Bath & Shower,4.5,,Sephora,high,excellent,0
Clémentine California Hand Cream,Bath & Shower,4.5,,Sephora,medium,excellent,0
CHANCE EAU VIVE Foaming Shower Gel,Bath & Shower,4.5,,Sephora,high,excellent,0
N°5 Shower Gel,Bath & Shower,4.5,,Sephora,high,excellent,0
Chloé Perfumed Deodorant Spray,Bath & Shower,4.5,,Sephora,medium,excellent,0
J'adore Soap,Bath & Shower,4.5,,Sephora,medium,excellent,0
Cashmere Mist Deodorant,Bath & Shower,4.5,,Sephora,medium,excellent,0
English Pear & Freesia Hand Soap & Body Wash,Bath & Shower,4.5,,Sephora,high,excellent,0
Basil & Neroli Hand Soap & Body Wash,Bath & Shower,4.5,,Sephora,high,excellent,0
Fresh Fig Honey Bath ,Bath & Shower,4.5,,Sephora,high,excellent,0
"Amazing Grace Ballet Rose Shampoo, Bath, & Shower Gel",Bath & Shower,4.5,,Sephora,medium,excellent,0
"Living Grace Shampoo, Bath & Shower Gel ",Bath & Shower,4.5,,Sephora,medium,excellent,0
Giulietta Bagno Profumato Body Wash,Bath & Shower,4.5,,Sephora,medium,excellent,0
Pomelo Paradis Body And Hair Shower Gel,Bath & Shower,4.0,,Sephora,high,good,0
Eau Parfumée Au Thé Blanc Shampoo And Shower Gel,Bath & Shower,4.0,,Sephora,high,good,0
BLEU DE CHANEL After Shave Lotion,Bath & Shower,4.0,,Sephora,high,good,0
COCO MADEMOISELLE Foaming Shower Gel,Bath & Shower,4.0,,Sephora,high,good,0
Mon Guerlain Perfumed Shower Gel,Bath & Shower,4.0,,Sephora,high,good,0
Mimosa & Cardamom Hand Soap & Body Wash,Bath & Shower,4.0,,Sephora,high,good,0
Geranium & Walnut Body Scrub,Bath & Shower,4.0,,Sephora,high,good,0
Poppy & Barley Body & Hand Wash,Bath & Shower,4.0,,Sephora,high,good,0
Almond Coconut Honey Bath,Bath & Shower,4.0,,Sephora,high,good,0
Oud Wood Shower Gel,Bath & Shower,4.0,,Sephora,high,good,0
Neroli Portofino Bath Soap,Bath & Shower,4.0,,Sephora,high,good,0
Tory Burch Bel Azur Shower Gel,Bath & Shower,4.0,,Sephora,high,good,0
Eau Parfumée Au Thé Vert Shampoo And Shower Gel,Bath & Shower,3.5,,Sephora,high,average,0
Lime Basil & Mandarin Hand Soap & Body Wash,Bath & Shower,3.5,,Sephora,high,average,0
Pink Sugar Shower Gel,Bath & Shower,3.5,,Sephora,medium,average,0
Neroli Portofino Shower Gel,Bath & Shower,3.5,,Sephora,high,average,0
Shave Cream,Bath & Shower,3.5,,Sephora,high,average,0
Orange Sanguine Moisturizing Body & Hair Shower Gel,Bath & Shower,3.0,,Sephora,high,average,0
Oud Wood Body Oil,Bath & Shower,2.0,,Sephora,high,poor,0
Scented Soap- Bergamote Soleil,Bath & Shower,0.0,,Sephora,medium,poor,0
Sauvage Shaving Gel,Bath & Shower,0.0,,Sephora,high,poor,0
Eight & Bob Deodorant,Bath & Shower,0.0,,Sephora,high,poor,0
B00IZQ66V8,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_0?ie=UTF8&adId=A05918851V6HIY2OSSD5M&adOffset=0&qualifier=1680073164&id=328991046792571&widgetName=sp_browse_thematic&url=%2FKimirica-Valentine-Goodness-Extracts-Pro-Vitamin%2Fdp%2FB099F65W77%3Fpsc%3D1%26pd_rd_w%3Dc9ky9%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DHG8N242P5RXXNHSFQ3KZ%26pd_rd_wg%3DyVkQv%26pd_rd_r%3D47b2c1d8-86b0-4d7c-8dc6-6ce5316de0fb%26ref_%3Dsspa_dk_browse_0,Amazon,unknown,excellent,0
B00IZG78WY,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_1?ie=UTF8&adId=A017333618YH3XKAADS5U&adOffset=0&qualifier=1680073164&id=328991046792571&widgetName=sp_browse_thematic&url=%2FNankings-Enriched-Lavender-Muscles-Refreshing%2Fdp%2FB07CDDNJRZ%3Fpsc%3D1%26pd_rd_w%3Dc9ky9%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DHG8N242P5RXXNHSFQ3KZ%26pd_rd_wg%3DyVkQv%26pd_rd_r%3D47b2c1d8-86b0-4d7c-8dc6-6ce5316de0fb%26ref_%3Dsspa_dk_browse_1,Amazon,unknown,excellent,0
B00IZ3FZN6,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_2?ie=UTF8&adId=A04757671KGG9KDUK9U26&adOffset=0&qualifier=1680073164&id=328991046792571&widgetName=sp_browse_thematic&url=%2FNankings-Unscented-Aching-Muscles-Refreshing%2Fdp%2FB07B2RD412%3Fpsc%3D1%26pd_rd_w%3Dc9ky9%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DHG8N242P5RXXNHSFQ3KZ%26pd_rd_wg%3DyVkQv%26pd_rd_r%3D47b2c1d8-86b0-4d7c-8dc6-6ce5316de0fb%26ref_%3Dsspa_dk_browse_2,Amazon,unknown,excellent,0
B00IYF6UE8,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_3?ie=UTF8&adId=A09741072OG2IN91S81K5&adOffset=0&qualifier=1680073164&id=328991046792571&widgetName=sp_browse_thematic&url=%2FLavenflo-Infused-Lavender-Essential-Refreshing%2Fdp%2FB08LDTPNV7%3Fpsc%3D1%26pd_rd_w%3Dc9ky9%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DHG8N242P5RXXNHSFQ3KZ%26pd_rd_wg%3DyVkQv%26pd_rd_r%3D47b2c1d8-86b0-4d7c-8dc6-6ce5316de0fb%26ref_%3Dsspa_dk_browse_3,Amazon,unknown,excellent,0
B00IXX8YMM,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_4?ie=UTF8&adId=A01841043QXXJBLGG2INT&adOffset=0&qualifier=1680073164&id=328991046792571&widgetName=sp_browse_thematic&url=%2FUtkarsh-Magnesium-Sulphate-MgSO4-7H2O-Sulphur-12%2Fdp%2FB085WXBYMD%3Fpsc%3D1%26pd_rd_w%3Dc9ky9%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DHG8N242P5RXXNHSFQ3KZ%26pd_rd_wg%3DyVkQv%26pd_rd_r%3D47b2c1d8-86b0-4d7c-8dc6-6ce5316de0fb%26ref_%3Dsspa_dk_browse_4,Amazon,unknown,excellent,0
B00IXVY8HO,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_5?ie=UTF8&adId=A04899513V5MURO92RAZ1&adOffset=0&qualifier=1680073164&id=328991046792571&widgetName=sp_browse_thematic&url=%2FELYSIUM-ELY1005-Elysium-Epsom-Lavender%2Fdp%2FB07BXKNDV6%3Fpsc%3D1%26pd_rd_w%3Dc9ky9%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DHG8N242P5RXXNHSFQ3KZ%26pd_rd_wg%3DyVkQv%26pd_rd_r%3D47b2c1d8-86b0-4d7c-8dc6-6ce5316de0fb%26ref_%3Dsspa_dk_browse_5,Amazon,unknown,excellent,0
B00IXPQUCQ,Bath Salts,5.0,https://www.amazon.in/Organix-Mantra-Muscle-Relief-Relieves/dp/B07C16V2TC/ref=lp_1374281031_1_1?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00IU2C148,Bath Salts,5.0,https://www.amazon.in/EarthenPot-Epsom-Relax-Muscle-Relieves/dp/B08N5QJKGS/ref=lp_1374281031_1_2?sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D,Amazon,unknown,excellent,0
B00IU079YM,Bath Salts,5.0,https://www.amazon.in/Demigod-Smelling-Ammonia-Stimulant-Chamberofgods/dp/B0BG68PSYW/ref=lp_1374281031_1_3?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ITY6XK0,Bath Salts,5.0,https://www.amazon.in/MESMARA-Mesmara-Epsom-Salt-800g/dp/B077M2BYW5/ref=lp_1374281031_1_4?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ITXVZK4,Bath Salts,5.0,https://www.amazon.in/SAPRETAILER-Magnesium-Sulphate-Fertilizer-Plants/dp/B08ZCLQXLY/ref=lp_1374281031_1_5?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ITEBAHG,Bath Salts,5.0,https://www.amazon.in/Soulflower-Lavender-Bath-Salt-500g/dp/B078NL3JPL/ref=lp_1374281031_1_6?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ITAANDW,Bath Salts,5.0,https://www.amazon.in/Organic-Muscle-Relief-Relieves-Gardening/dp/B08LSGSTSV/ref=lp_1374281031_1_7?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ITA8HD0,Bath Salts,5.0,https://www.amazon.in/Elemensis-Naturals-Magnesium-Therapeutic-Refreshing/dp/B082FKFTKW/ref=lp_1374281031_1_8?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ITA41T4,Bath Salts,5.0,https://www.amazon.in/Kimirica-Valentine-Goodness-Extracts-Pro-Vitamin/dp/B099F65W77/ref=lp_1374281031_1_9?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00IT69F62,Bath Salts,5.0,https://www.amazon.in/YOGAFY-Minerals-Himalayan-Crystal-Relaxation/dp/B08L16BZCK/ref=lp_1374281031_1_10?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00IT4POOG,Bath Salts,5.0,https://www.amazon.in/Leanbeing-cleansing-Relaxation-Therapeutic-Treatment/dp/B08CD2MRM2/ref=lp_1374281031_1_11?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00IT1HKV4,Bath Salts,5.0,https://www.amazon.in/Lavender-Magnesium-Softening-Exfoliation-Eliminates/dp/B08JJ6WBGC/ref=lp_1374281031_1_12?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,Amazon,unknown,excellent,0
B00ISW92FG,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_0?ie=UTF8&adId=A05918851V6HIY2OSSD5M&adOffset=0&qualifier=1680073166&id=7135353907861298&widgetName=sp_browse_thematic&url=%2FKimirica-Valentine-Goodness-Extracts-Pro-Vitamin%2Fdp%2FB099F65W77%3Fpsc%3D1%26pd_rd_w%3DMolhJ%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DM53HSGAAJT2NBAEKV069%26pd_rd_wg%3D18GPW%26pd_rd_r%3Db95be30b-f997-40b1-bc70-06897173f7e9%26ref_%3Dsspa_dk_browse_0,Amazon,unknown,excellent,0
B00ISW92F6,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_1?ie=UTF8&adId=A017333618YH3XKAADS5U&adOffset=0&qualifier=1680073166&id=7135353907861298&widgetName=sp_browse_thematic&url=%2FNankings-Enriched-Lavender-Muscles-Refreshing%2Fdp%2FB07CDDNJRZ%3Fpsc%3D1%26pd_rd_w%3DMolhJ%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DM53HSGAAJT2NBAEKV069%26pd_rd_wg%3D18GPW%26pd_rd_r%3Db95be30b-f997-40b1-bc70-06897173f7e9%26ref_%3Dsspa_dk_browse_1,Amazon,unknown,excellent,0
B00ISW91BG,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_2?ie=UTF8&adId=A04757671KGG9KDUK9U26&adOffset=0&qualifier=1680073166&id=7135353907861298&widgetName=sp_browse_thematic&url=%2FNankings-Unscented-Aching-Muscles-Refreshing%2Fdp%2FB07B2RD412%3Fpsc%3D1%26pd_rd_w%3DMolhJ%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DM53HSGAAJT2NBAEKV069%26pd_rd_wg%3D18GPW%26pd_rd_r%3Db95be30b-f997-40b1-bc70-06897173f7e9%26ref_%3Dsspa_dk_browse_2,Amazon,unknown,excellent,0
B00ISW8ZVS,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_3?ie=UTF8&adId=A09741072OG2IN91S81K5&adOffset=0&qualifier=1680073166&id=7135353907861298&widgetName=sp_browse_thematic&url=%2FLavenflo-Infused-Lavender-Essential-Refreshing%2Fdp%2FB08LDTPNV7%3Fpsc%3D1%26pd_rd_w%3DMolhJ%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DM53HSGAAJT2NBAEKV069%26pd_rd_wg%3D18GPW%26pd_rd_r%3Db95be30b-f997-40b1-bc70-06897173f7e9%26ref_%3Dsspa_dk_browse_3,Amazon,unknown,excellent,0
B00ISL3ECO,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_4?ie=UTF8&adId=A01841043QXXJBLGG2INT&adOffset=0&qualifier=1680073166&id=7135353907861298&widgetName=sp_browse_thematic&url=%2FUtkarsh-Magnesium-Sulphate-MgSO4-7H2O-Sulphur-12%2Fdp%2FB085WXBYMD%3Fpsc%3D1%26pd_rd_w%3DMolhJ%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DM53HSGAAJT2NBAEKV069%26pd_rd_wg%3D18GPW%26pd_rd_r%3Db95be30b-f997-40b1-bc70-06897173f7e9%26ref_%3Dsspa_dk_browse_4,Amazon,unknown,excellent,0
B00ISDOYV2,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_5?ie=UTF8&adId=A000063733NWTZV58P7QO&adOffset=0&qualifier=1680073166&id=7135353907861298&widgetName=sp_browse_thematic&url=%2FKhadi-Natural-Lavender-Basil-Bath%2Fdp%2FB00BXTD0HW%3Fpsc%3D1%26pd_rd_w%3DMolhJ%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DM53HSGAAJT2NBAEKV069%26pd_rd_wg%3D18GPW%26pd_rd_r%3Db95be30b-f997-40b1-bc70-06897173f7e9%26ref_%3Dsspa_dk_browse_5,Amazon,unknown,excellent,0
B00IS6XPQY,Bath Salts,5.0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=sspa_dk_browse_0?ie=UTF8&adId=A05918851V6HIY2OSSD5M&adOffset=0&qualifier=1680073169&id=568893426983845&widgetName=sp_browse_thematic&url=%2FKimirica-Valentine-Goodness-Extracts-Pro-Vitamin%2Fdp%2FB099F65W77%3Fpsc%3D1%26pd_rd_w%3DyQkOp%26content-id%3Damzn1.sym.ae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_p%3Dae8aecd9-c026-4fdb-87e7-77b5dfadbf30%26pf_rd_r%3DBTGC78M54GAGGQ1VG0D7%26pd_rd_wg%3DCHtqu%26pd_rd_r%3D5945f45b-a3b7-4dfb-bc9b-593d98ada067%26ref_%3Dsspa_dk_browse_0,Amazon,unknown,excellent,0
